GT	gemma2-9b-Q8	llama3.1-8b-Q8	mistral-nemo-12b-Q8	phi3-8b-medium-Q8	qwen2-7b-Q8	Llama3.1 ft v1	Llama3.1 ft v2
CWE-416	CWE-416	CWE-416	CWE-415	CWE-429	CWE-416	CWE-416	CWE-416
CWE-257	CWE-798	CWE-287	CWE-306	CWE-310	CWE-863	CWE-287	CWE-287
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-787	CWE-787	CWE-119	CWE-787	CWE-120	CWE-126	CWE-787	CWE-119
CWE-79	CWE-79	CWE-79	CWE-79		CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-269	CWE-732	CWE-264	CWE-269	CWE-89	CWE-256	CWE-264	CWE-264
CWE-918	CWE-918	CWE-918	CWE-913	CWE-379	CWE-611	CWE-918	CWE-918
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20	CWE-79	CWE-94
CWE-116	CWE-200	CWE-200	CWE-203	CWE-20	CWE-209	CWE-200	CWE-200
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-119	CWE-416	CWE-122	CWE-121	CWE-120	CWE-190	CWE-119	CWE-122
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-415	CWE-416	CWE-416
CWE-77	CWE-20	CWE-78	CWE-78	CWE-89	CWE-78	CWE-78	CWE-94
CWE-346	CWE-732	CWE-264	CWE-862	CWE-284	CWE-287	CWE-22	CWE-264
CWE-532	CWE-522	CWE-200	CWE-200	CWE-284	CWE-200	CWE-200	CWE-200
CWE-434	CWE-434	CWE-434	CWE-434	CWE-23	CWE-494	CWE-434	CWE-434
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-434	CWE-434	CWE-434	CWE-434	CWE-91	CWE-434	CWE-434	CWE-434
CWE-79	CWE-79	CWE-79	CWE-79		CWE-79	CWE-79	CWE-79
CWE-77	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-94
CWE-89	CWE-89	CWE-90	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-94	CWE-116	CWE-79		CWE-79	CWE-94
CWE-404	CWE-732	CWE-78	CWE-306	CWE-250	CWE-400	CWE-400	CWE-400
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-346	CWE-79	CWE-79	CWE-79
CWE-22	CWE-476	CWE-23	CWE-22	CWE-22	CWE-22	CWE-22	CWE-402
CWE-22	CWE-20	CWE-426	CWE-94	CWE-837	CWE-295	CWE-22	CWE-22
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-434	CWE-73	CWE-434	CWE-434	CWE-23	CWE-113	CWE-434	CWE-434
CWE-829	CWE-330	CWE-310	CWE-352	CWE-310	CWE-644	CWE-310	CWE-345
